X,Y,Z,STF,COF,FEATUREID,FNAME,FTYPE,PIN,STCOFPIN,SAN,PRD,STP,STN,STS,POD,MCN,ADD_DATE,EDIT_DATE
-77.464784786028346,39.84284565324819,0,,,,,TRLR,,,,,,,,,,,
-77.46496355156188,39.84605599798752,0,,,,,,00ADM-ROAD---000,,0,,,,,,,,
-77.464772697315155,39.843110446568993,0,,,,,BLDG,18A12-0031---000,,12691,,,LOOP,RD,,HAMILTONBAN,,
-77.460963171834436,39.762469503429159,0,,,,,Buildings,18A16-0020---000,,515,,,GUM SPRINGS,RD,,HAMILTONBAN,,
-77.460709066284494,39.749726772470545,0,,,,,,18A17-0017---000,,0,,,,,,HAMILTONBAN,,
-77.459763186286793,39.73850521584513,0,,,,,,,,0,,,,,,,,
-77.464744054249195,39.839391079264765,0,,,,,BLDG,18A12-0035---000,,35,,,FAITH,LN,,HAMILTONBAN,,
